Close,Country,Ticker,Date,Close,Close,Close,Close,Close
^GSPC,,,,^GDAXI,000001.SS,^FTSE,^GSPTSE,^N225
,U.K.,^FTSE,2020-10-20,,,5889.2001953125,,
,U.K.,^FTSE,2020-10-21,,,5776.5,,
,U.K.,^FTSE,2020-10-22,,,5785.7001953125,,
,U.K.,^FTSE,2020-10-23,,,5860.2998046875,,
,U.K.,^FTSE,2020-10-26,,,5792.0,,
,U.K.,^FTSE,2020-10-27,,,5729.0,,
,U.K.,^FTSE,2020-10-28,,,5582.7998046875,,
,U.K.,^FTSE,2020-10-29,,,5581.7998046875,,
,U.K.,^FTSE,2020-10-30,,,5577.2998046875,,
,U.K.,^FTSE,2020-11-02,,,5655.0,,
,U.K.,^FTSE,2020-11-03,,,5786.7998046875,,
,U.K.,^FTSE,2020-11-04,,,5883.2998046875,,
,U.K.,^FTSE,2020-11-05,,,5906.2001953125,,
,U.K.,^FTSE,2020-11-06,,,5910.0,,
,U.K.,^FTSE,2020-11-09,,,6186.2998046875,,
,U.K.,^FTSE,2020-11-10,,,6296.89990234375,,
,U.K.,^FTSE,2020-11-11,,,6382.10009765625,,
,U.K.,^FTSE,2020-11-12,,,6338.89990234375,,
,U.K.,^FTSE,2020-11-13,,,6316.39990234375,,
,U.K.,^FTSE,2020-11-16,,,6421.2998046875,,
,U.K.,^FTSE,2020-11-17,,,6365.2998046875,,
,U.K.,^FTSE,2020-11-18,,,6385.2001953125,,
,U.K.,^FTSE,2020-11-19,,,6334.39990234375,,
,U.K.,^FTSE,2020-11-20,,,6351.5,,
,U.K.,^FTSE,2020-11-23,,,6333.7998046875,,
,U.K.,^FTSE,2020-11-24,,,6432.2001953125,,
,U.K.,^FTSE,2020-11-25,,,6391.10009765625,,
,U.K.,^FTSE,2020-11-26,,,6362.89990234375,,
,U.K.,^FTSE,2020-11-27,,,6367.60009765625,,
,U.K.,^FTSE,2020-11-30,,,6266.2001953125,,
,U.K.,^FTSE,2020-12-01,,,6384.7001953125,,
,U.K.,^FTSE,2020-12-02,,,6463.39990234375,,
,U.K.,^FTSE,2020-12-03,,,6490.2998046875,,
,U.K.,^FTSE,2020-12-04,,,6550.2001953125,,
,U.K.,^FTSE,2020-12-07,,,6555.39990234375,,
,U.K.,^FTSE,2020-12-08,,,6558.7998046875,,
,U.K.,^FTSE,2020-12-09,,,6564.2998046875,,
,U.K.,^FTSE,2020-12-10,,,6599.7998046875,,
,U.K.,^FTSE,2020-12-11,,,6546.7998046875,,
,U.K.,^FTSE,2020-12-14,,,6531.7998046875,,
,U.K.,^FTSE,2020-12-15,,,6513.2998046875,,
,U.K.,^FTSE,2020-12-16,,,6570.89990234375,,
,U.K.,^FTSE,2020-12-17,,,6551.10009765625,,
,U.K.,^FTSE,2020-12-18,,,6529.2001953125,,
,U.K.,^FTSE,2020-12-21,,,6416.2998046875,,
,U.K.,^FTSE,2020-12-23,,,6495.7998046875,,
,U.K.,^FTSE,2020-12-24,,,6502.10009765625,,
,U.K.,^FTSE,2020-12-29,,,6602.7001953125,,
,U.K.,^FTSE,2020-12-30,,,6555.7998046875,,
,U.K.,^FTSE,2020-12-31,,,6460.5,,
,U.K.,^FTSE,2021-01-04,,,6571.89990234375,,
,U.K.,^FTSE,2021-01-05,,,6612.2998046875,,
,U.K.,^FTSE,2021-01-06,,,6841.89990234375,,
,U.K.,^FTSE,2021-01-07,,,6857.0,,
,U.K.,^FTSE,2021-01-08,,,6873.2998046875,,
,U.K.,^FTSE,2021-01-11,,,6798.5,,
,U.K.,^FTSE,2021-01-12,,,6754.10009765625,,
,U.K.,^FTSE,2021-01-13,,,6745.5,,
,U.K.,^FTSE,2021-01-14,,,6802.0,,
,U.K.,^FTSE,2021-01-15,,,6735.7001953125,,
,U.K.,^FTSE,2021-01-18,,,6720.7001953125,,
,U.K.,^FTSE,2021-01-19,,,6713.0,,
,U.K.,^FTSE,2021-01-20,,,6740.39990234375,,
,U.K.,^FTSE,2021-01-21,,,6715.39990234375,,
,U.K.,^FTSE,2021-01-22,,,6695.10009765625,,
,U.K.,^FTSE,2021-01-25,,,6638.89990234375,,
,U.K.,^FTSE,2021-01-26,,,6654.0,,
,U.K.,^FTSE,2021-01-27,,,6567.39990234375,,
,U.K.,^FTSE,2021-01-28,,,6526.2001953125,,
,U.K.,^FTSE,2021-01-29,,,6407.5,,
,U.K.,^FTSE,2021-02-01,,,6466.39990234375,,
,U.K.,^FTSE,2021-02-02,,,6516.7001953125,,
,U.K.,^FTSE,2021-02-03,,,6507.7998046875,,
,U.K.,^FTSE,2021-02-04,,,6503.7001953125,,
,U.K.,^FTSE,2021-02-05,,,6489.2998046875,,
,U.K.,^FTSE,2021-02-08,,,6523.5,,
,U.K.,^FTSE,2021-02-09,,,6531.60009765625,,
,U.K.,^FTSE,2021-02-10,,,6524.39990234375,,
,U.K.,^FTSE,2021-02-11,,,6528.7001953125,,
,U.K.,^FTSE,2021-02-12,,,6589.7998046875,,
,U.K.,^FTSE,2021-02-15,,,6756.10009765625,,
,U.K.,^FTSE,2021-02-16,,,6748.89990234375,,
,U.K.,^FTSE,2021-02-17,,,6710.89990234375,,
,U.K.,^FTSE,2021-02-18,,,6617.2001953125,,
,U.K.,^FTSE,2021-02-19,,,6624.0,,
,U.K.,^FTSE,2021-02-22,,,6612.2001953125,,
,U.K.,^FTSE,2021-02-23,,,6625.89990234375,,
,U.K.,^FTSE,2021-02-24,,,6659.0,,
,U.K.,^FTSE,2021-02-25,,,6652.0,,
,U.K.,^FTSE,2021-02-26,,,6483.39990234375,,
,U.K.,^FTSE,2021-03-01,,,6588.5,,
,U.K.,^FTSE,2021-03-02,,,6613.7998046875,,
,U.K.,^FTSE,2021-03-03,,,6675.5,,
,U.K.,^FTSE,2021-03-04,,,6650.89990234375,,
,U.K.,^FTSE,2021-03-05,,,6630.5,,
,U.K.,^FTSE,2021-03-08,,,6719.10009765625,,
,U.K.,^FTSE,2021-03-09,,,6730.2998046875,,
,U.K.,^FTSE,2021-03-10,,,6725.60009765625,,
,U.K.,^FTSE,2021-03-11,,,6737.0,,
,U.K.,^FTSE,2021-03-12,,,6761.5,,
,U.K.,^FTSE,2021-03-15,,,6749.7001953125,,
,U.K.,^FTSE,2021-03-16,,,6803.60009765625,,
,U.K.,^FTSE,2021-03-17,,,6762.7001953125,,
,U.K.,^FTSE,2021-03-18,,,6779.7001953125,,
,U.K.,^FTSE,2021-03-19,,,6708.7001953125,,
,U.K.,^FTSE,2021-03-22,,,6726.10009765625,,
,U.K.,^FTSE,2021-03-23,,,6699.2001953125,,
,U.K.,^FTSE,2021-03-24,,,6712.89990234375,,
,U.K.,^FTSE,2021-03-25,,,6674.7998046875,,
,U.K.,^FTSE,2021-03-26,,,6740.60009765625,,
,U.K.,^FTSE,2021-03-29,,,6736.2001953125,,
,U.K.,^FTSE,2021-03-30,,,6772.10009765625,,
,U.K.,^FTSE,2021-03-31,,,6713.60009765625,,
,U.K.,^FTSE,2021-04-01,,,6737.2998046875,,
,U.K.,^FTSE,2021-04-06,,,6823.60009765625,,
,U.K.,^FTSE,2021-04-07,,,6885.2998046875,,
,U.K.,^FTSE,2021-04-08,,,6942.2001953125,,
,U.K.,^FTSE,2021-04-09,,,6915.7998046875,,
,U.K.,^FTSE,2021-04-12,,,6889.10009765625,,
,U.K.,^FTSE,2021-04-13,,,6890.5,,
,U.K.,^FTSE,2021-04-14,,,6939.60009765625,,
,U.K.,^FTSE,2021-04-15,,,6983.5,,
,U.K.,^FTSE,2021-04-16,,,7019.5,,
,U.K.,^FTSE,2021-04-19,,,7000.10009765625,,
,U.K.,^FTSE,2021-04-20,,,6859.89990234375,,
,U.K.,^FTSE,2021-04-21,,,6895.2998046875,,
,U.K.,^FTSE,2021-04-22,,,6938.2001953125,,
,U.K.,^FTSE,2021-04-23,,,6938.60009765625,,
,U.K.,^FTSE,2021-04-26,,,6963.10009765625,,
,U.K.,^FTSE,2021-04-27,,,6945.0,,
,U.K.,^FTSE,2021-04-28,,,6963.7001953125,,
,U.K.,^FTSE,2021-04-29,,,6961.5,,
,U.K.,^FTSE,2021-04-30,,,6969.7998046875,,
,U.K.,^FTSE,2021-05-04,,,6923.2001953125,,
,U.K.,^FTSE,2021-05-05,,,7039.2998046875,,
,U.K.,^FTSE,2021-05-06,,,7076.2001953125,,
,U.K.,^FTSE,2021-05-07,,,7129.7001953125,,
,U.K.,^FTSE,2021-05-10,,,7123.7001953125,,
,U.K.,^FTSE,2021-05-11,,,6948.0,,
,U.K.,^FTSE,2021-05-12,,,7004.60009765625,,
,U.K.,^FTSE,2021-05-13,,,6963.2998046875,,
,U.K.,^FTSE,2021-05-14,,,7043.60009765625,,
,U.K.,^FTSE,2021-05-17,,,7032.89990234375,,
,U.K.,^FTSE,2021-05-18,,,7034.2001953125,,
,U.K.,^FTSE,2021-05-19,,,6950.2001953125,,
,U.K.,^FTSE,2021-05-20,,,7019.7998046875,,
,U.K.,^FTSE,2021-05-21,,,7018.10009765625,,
,U.K.,^FTSE,2021-05-24,,,7051.60009765625,,
,U.K.,^FTSE,2021-05-25,,,7029.7998046875,,
,U.K.,^FTSE,2021-05-26,,,7026.89990234375,,
,U.K.,^FTSE,2021-05-27,,,7019.7001953125,,
,U.K.,^FTSE,2021-05-28,,,7022.60009765625,,
,U.K.,^FTSE,2021-06-01,,,7080.5,,
,U.K.,^FTSE,2021-06-02,,,7108.0,,
,U.K.,^FTSE,2021-06-03,,,7064.39990234375,,
,U.K.,^FTSE,2021-06-04,,,7069.0,,
,U.K.,^FTSE,2021-06-07,,,7077.2001953125,,
,U.K.,^FTSE,2021-06-08,,,7095.10009765625,,
,U.K.,^FTSE,2021-06-09,,,7081.0,,
,U.K.,^FTSE,2021-06-10,,,7088.2001953125,,
,U.K.,^FTSE,2021-06-11,,,7134.10009765625,,
,U.K.,^FTSE,2021-06-14,,,7146.7001953125,,
,U.K.,^FTSE,2021-06-15,,,7172.5,,
,U.K.,^FTSE,2021-06-16,,,7185.0,,
,U.K.,^FTSE,2021-06-17,,,7153.39990234375,,
,U.K.,^FTSE,2021-06-18,,,7017.5,,
,U.K.,^FTSE,2021-06-21,,,7062.2998046875,,
,U.K.,^FTSE,2021-06-22,,,7090.0,,
,U.K.,^FTSE,2021-06-23,,,7074.10009765625,,
,U.K.,^FTSE,2021-06-24,,,7110.0,,
,U.K.,^FTSE,2021-06-25,,,7136.10009765625,,
,U.K.,^FTSE,2021-06-28,,,7073.0,,
,U.K.,^FTSE,2021-06-29,,,7087.60009765625,,
,U.K.,^FTSE,2021-06-30,,,7037.5,,
,U.K.,^FTSE,2021-07-01,,,7125.2001953125,,
,U.K.,^FTSE,2021-07-02,,,7123.2998046875,,
,U.K.,^FTSE,2021-07-05,,,7164.89990234375,,
,U.K.,^FTSE,2021-07-06,,,7100.89990234375,,
,U.K.,^FTSE,2021-07-07,,,7151.0,,
,U.K.,^FTSE,2021-07-08,,,7030.7001953125,,
,U.K.,^FTSE,2021-07-09,,,7121.89990234375,,
,U.K.,^FTSE,2021-07-12,,,7125.39990234375,,
,U.K.,^FTSE,2021-07-13,,,7124.7001953125,,
,U.K.,^FTSE,2021-07-14,,,7091.2001953125,,
,U.K.,^FTSE,2021-07-15,,,7012.0,,
,U.K.,^FTSE,2021-07-16,,,7008.10009765625,,
,U.K.,^FTSE,2021-07-19,,,6844.39990234375,,
,U.K.,^FTSE,2021-07-20,,,6881.10009765625,,
,U.K.,^FTSE,2021-07-21,,,6998.2998046875,,
,U.K.,^FTSE,2021-07-22,,,6968.2998046875,,
,U.K.,^FTSE,2021-07-23,,,7027.60009765625,,
,U.K.,^FTSE,2021-07-26,,,7025.39990234375,,
,U.K.,^FTSE,2021-07-27,,,6996.10009765625,,
,U.K.,^FTSE,2021-07-28,,,7016.60009765625,,
,U.K.,^FTSE,2021-07-29,,,7078.39990234375,,
,U.K.,^FTSE,2021-07-30,,,7032.2998046875,,
,U.K.,^FTSE,2021-08-02,,,7081.7001953125,,
,U.K.,^FTSE,2021-08-03,,,7105.7001953125,,
,U.K.,^FTSE,2021-08-04,,,7123.89990234375,,
,U.K.,^FTSE,2021-08-05,,,7120.39990234375,,
,U.K.,^FTSE,2021-08-06,,,7123.0,,
,U.K.,^FTSE,2021-08-09,,,7132.2998046875,,
,U.K.,^FTSE,2021-08-10,,,7161.0,,
,U.K.,^FTSE,2021-08-11,,,7220.10009765625,,
,U.K.,^FTSE,2021-08-12,,,7193.2001953125,,
,U.K.,^FTSE,2021-08-13,,,7218.7001953125,,
,U.K.,^FTSE,2021-08-16,,,7154.0,,
,U.K.,^FTSE,2021-08-17,,,7181.10009765625,,
,U.K.,^FTSE,2021-08-18,,,7169.2998046875,,
,U.K.,^FTSE,2021-08-19,,,7058.89990234375,,
,U.K.,^FTSE,2021-08-20,,,7087.89990234375,,
,U.K.,^FTSE,2021-08-23,,,7109.0,,
,U.K.,^FTSE,2021-08-24,,,7125.7998046875,,
,U.K.,^FTSE,2021-08-25,,,7150.10009765625,,
,U.K.,^FTSE,2021-08-26,,,7125.0,,
,U.K.,^FTSE,2021-08-27,,,7148.0,,
,U.K.,^FTSE,2021-08-31,,,7119.7001953125,,
,U.K.,^FTSE,2021-09-01,,,7149.7998046875,,
,U.K.,^FTSE,2021-09-02,,,7163.89990234375,,
,U.K.,^FTSE,2021-09-03,,,7138.39990234375,,
,U.K.,^FTSE,2021-09-06,,,7187.2001953125,,
,U.K.,^FTSE,2021-09-07,,,7149.39990234375,,
,U.K.,^FTSE,2021-09-08,,,7095.5,,
,U.K.,^FTSE,2021-09-09,,,7024.2001953125,,
,U.K.,^FTSE,2021-09-10,,,7029.2001953125,,
,U.K.,^FTSE,2021-09-13,,,7068.39990234375,,
,U.K.,^FTSE,2021-09-14,,,7034.10009765625,,
,U.K.,^FTSE,2021-09-15,,,7016.5,,
,U.K.,^FTSE,2021-09-16,,,7027.5,,
,U.K.,^FTSE,2021-09-17,,,6963.60009765625,,
,U.K.,^FTSE,2021-09-20,,,6903.89990234375,,
,U.K.,^FTSE,2021-09-21,,,6981.0,,
,U.K.,^FTSE,2021-09-22,,,7083.39990234375,,
,U.K.,^FTSE,2021-09-23,,,7078.39990234375,,
,U.K.,^FTSE,2021-09-24,,,7051.5,,
,U.K.,^FTSE,2021-09-27,,,7063.39990234375,,
,U.K.,^FTSE,2021-09-28,,,7028.10009765625,,
,U.K.,^FTSE,2021-09-29,,,7108.2001953125,,
,U.K.,^FTSE,2021-09-30,,,7086.39990234375,,
,U.K.,^FTSE,2021-10-01,,,7027.10009765625,,
,U.K.,^FTSE,2021-10-04,,,7011.0,,
,U.K.,^FTSE,2021-10-05,,,7077.10009765625,,
,U.K.,^FTSE,2021-10-06,,,6995.89990234375,,
,U.K.,^FTSE,2021-10-07,,,7078.0,,
,U.K.,^FTSE,2021-10-08,,,7095.60009765625,,
,U.K.,^FTSE,2021-10-11,,,7146.89990234375,,
,U.K.,^FTSE,2021-10-12,,,7130.2001953125,,
,U.K.,^FTSE,2021-10-13,,,7141.7998046875,,
,U.K.,^FTSE,2021-10-14,,,7207.7001953125,,
,U.K.,^FTSE,2021-10-15,,,7234.0,,
,U.K.,^FTSE,2021-10-18,,,7203.7998046875,,
,U.K.,^FTSE,2021-10-19,,,7217.5,,
,U.K.,^FTSE,2021-10-20,,,7223.10009765625,,
,U.K.,^FTSE,2021-10-21,,,7190.2998046875,,
,U.K.,^FTSE,2021-10-22,,,7204.60009765625,,
,U.K.,^FTSE,2021-10-25,,,7222.7998046875,,
,U.K.,^FTSE,2021-10-26,,,7277.60009765625,,
,U.K.,^FTSE,2021-10-27,,,7253.2998046875,,
,U.K.,^FTSE,2021-10-28,,,7249.5,,
,U.K.,^FTSE,2021-10-29,,,7237.60009765625,,
,U.K.,^FTSE,2021-11-01,,,7288.60009765625,,
,U.K.,^FTSE,2021-11-02,,,7274.7998046875,,
,U.K.,^FTSE,2021-11-03,,,7248.89990234375,,
,U.K.,^FTSE,2021-11-04,,,7279.89990234375,,
,U.K.,^FTSE,2021-11-05,,,7304.0,,
,U.K.,^FTSE,2021-11-08,,,7300.39990234375,,
,U.K.,^FTSE,2021-11-09,,,7274.0,,
,U.K.,^FTSE,2021-11-10,,,7340.2001953125,,
,U.K.,^FTSE,2021-11-11,,,7384.2001953125,,
,U.K.,^FTSE,2021-11-12,,,7347.89990234375,,
,U.K.,^FTSE,2021-11-15,,,7351.89990234375,,
,U.K.,^FTSE,2021-11-16,,,7327.0,,
,U.K.,^FTSE,2021-11-17,,,7291.2001953125,,
,U.K.,^FTSE,2021-11-18,,,7256.0,,
,U.K.,^FTSE,2021-11-19,,,7223.60009765625,,
,U.K.,^FTSE,2021-11-22,,,7255.5,,
,U.K.,^FTSE,2021-11-23,,,7266.7001953125,,
,U.K.,^FTSE,2021-11-24,,,7286.2998046875,,
,U.K.,^FTSE,2021-11-25,,,7310.39990234375,,
,U.K.,^FTSE,2021-11-26,,,7044.0,,
,U.K.,^FTSE,2021-11-29,,,7110.0,,
,U.K.,^FTSE,2021-11-30,,,7059.5,,
,U.K.,^FTSE,2021-12-01,,,7168.7001953125,,
,U.K.,^FTSE,2021-12-02,,,7129.2001953125,,
,U.K.,^FTSE,2021-12-03,,,7122.2998046875,,
,U.K.,^FTSE,2021-12-06,,,7232.2998046875,,
,U.K.,^FTSE,2021-12-07,,,7339.89990234375,,
,U.K.,^FTSE,2021-12-08,,,7337.39990234375,,
,U.K.,^FTSE,2021-12-09,,,7321.2998046875,,
,U.K.,^FTSE,2021-12-10,,,7291.7998046875,,
,U.K.,^FTSE,2021-12-13,,,7231.39990234375,,
,U.K.,^FTSE,2021-12-14,,,7218.60009765625,,
,U.K.,^FTSE,2021-12-15,,,7170.7998046875,,
,U.K.,^FTSE,2021-12-16,,,7260.60009765625,,
,U.K.,^FTSE,2021-12-17,,,7269.89990234375,,
,U.K.,^FTSE,2021-12-20,,,7198.0,,
,U.K.,^FTSE,2021-12-21,,,7297.39990234375,,
,U.K.,^FTSE,2021-12-22,,,7341.7001953125,,
,U.K.,^FTSE,2021-12-23,,,7373.2998046875,,
,U.K.,^FTSE,2021-12-24,,,7372.10009765625,,
,U.K.,^FTSE,2021-12-29,,,7420.7001953125,,
,U.K.,^FTSE,2021-12-30,,,7403.0,,
,U.K.,^FTSE,2021-12-31,,,7384.5,,
,U.K.,^FTSE,2022-01-04,,,7505.2001953125,,
,U.K.,^FTSE,2022-01-05,,,7516.89990234375,,
,U.K.,^FTSE,2022-01-06,,,7450.39990234375,,
,U.K.,^FTSE,2022-01-07,,,7485.2998046875,,
,U.K.,^FTSE,2022-01-10,,,7445.2998046875,,
,U.K.,^FTSE,2022-01-11,,,7491.39990234375,,
,U.K.,^FTSE,2022-01-12,,,7551.7001953125,,
,U.K.,^FTSE,2022-01-13,,,7563.89990234375,,
,U.K.,^FTSE,2022-01-14,,,7543.0,,
,U.K.,^FTSE,2022-01-17,,,7611.2001953125,,
,U.K.,^FTSE,2022-01-18,,,7563.60009765625,,
,U.K.,^FTSE,2022-01-19,,,7589.7001953125,,
,U.K.,^FTSE,2022-01-20,,,7585.0,,
,U.K.,^FTSE,2022-01-21,,,7494.10009765625,,
,U.K.,^FTSE,2022-01-24,,,7297.2001953125,,
,U.K.,^FTSE,2022-01-25,,,7371.5,,
,U.K.,^FTSE,2022-01-26,,,7469.7998046875,,
,U.K.,^FTSE,2022-01-27,,,7554.2998046875,,
,U.K.,^FTSE,2022-01-28,,,7466.10009765625,,
,U.K.,^FTSE,2022-01-31,,,7464.39990234375,,
,U.K.,^FTSE,2022-02-01,,,7535.7998046875,,
,U.K.,^FTSE,2022-02-02,,,7583.0,,
,U.K.,^FTSE,2022-02-03,,,7528.7998046875,,
,U.K.,^FTSE,2022-02-04,,,7516.39990234375,,
,U.K.,^FTSE,2022-02-07,,,7573.5,,
,U.K.,^FTSE,2022-02-08,,,7567.10009765625,,
,U.K.,^FTSE,2022-02-09,,,7643.39990234375,,
,U.K.,^FTSE,2022-02-10,,,7672.39990234375,,
,U.K.,^FTSE,2022-02-11,,,7661.0,,
,U.K.,^FTSE,2022-02-14,,,7531.60009765625,,
,U.K.,^FTSE,2022-02-15,,,7608.89990234375,,
,U.K.,^FTSE,2022-02-16,,,7603.7998046875,,
,U.K.,^FTSE,2022-02-17,,,7537.39990234375,,
,U.K.,^FTSE,2022-02-18,,,7513.60009765625,,
,U.K.,^FTSE,2022-02-21,,,7484.2998046875,,
,U.K.,^FTSE,2022-02-22,,,7494.2001953125,,
,U.K.,^FTSE,2022-02-23,,,7498.2001953125,,
,U.K.,^FTSE,2022-02-24,,,7207.0,,
,U.K.,^FTSE,2022-02-25,,,7489.5,,
,U.K.,^FTSE,2022-02-28,,,7458.2998046875,,
,U.K.,^FTSE,2022-03-01,,,7330.2001953125,,
,U.K.,^FTSE,2022-03-02,,,7429.60009765625,,
,U.K.,^FTSE,2022-03-03,,,7238.89990234375,,
,U.K.,^FTSE,2022-03-04,,,6987.10009765625,,
,U.K.,^FTSE,2022-03-07,,,6959.5,,
,U.K.,^FTSE,2022-03-08,,,6964.10009765625,,
,U.K.,^FTSE,2022-03-09,,,7190.7001953125,,
,U.K.,^FTSE,2022-03-10,,,7099.10009765625,,
,U.K.,^FTSE,2022-03-11,,,7155.60009765625,,
,U.K.,^FTSE,2022-03-14,,,7193.5,,
,U.K.,^FTSE,2022-03-15,,,7175.7001953125,,
,U.K.,^FTSE,2022-03-16,,,7291.7001953125,,
,U.K.,^FTSE,2022-03-17,,,7385.2998046875,,
,U.K.,^FTSE,2022-03-18,,,7404.7001953125,,
,U.K.,^FTSE,2022-03-21,,,7442.39990234375,,
,U.K.,^FTSE,2022-03-22,,,7476.7001953125,,
,U.K.,^FTSE,2022-03-23,,,7460.60009765625,,
,U.K.,^FTSE,2022-03-24,,,7467.39990234375,,
,U.K.,^FTSE,2022-03-25,,,7483.39990234375,,
,U.K.,^FTSE,2022-03-28,,,7473.10009765625,,
,U.K.,^FTSE,2022-03-29,,,7537.2998046875,,
,U.K.,^FTSE,2022-03-30,,,7578.7998046875,,
,U.K.,^FTSE,2022-03-31,,,7515.7001953125,,
,U.K.,^FTSE,2022-04-01,,,7537.89990234375,,
,U.K.,^FTSE,2022-04-04,,,7558.89990234375,,
,U.K.,^FTSE,2022-04-05,,,7613.7001953125,,
,U.K.,^FTSE,2022-04-06,,,7587.7001953125,,
,U.K.,^FTSE,2022-04-07,,,7551.7998046875,,
,U.K.,^FTSE,2022-04-08,,,7669.60009765625,,
,U.K.,^FTSE,2022-04-11,,,7618.2998046875,,
,U.K.,^FTSE,2022-04-12,,,7576.7001953125,,
,U.K.,^FTSE,2022-04-13,,,7580.7998046875,,
,U.K.,^FTSE,2022-04-14,,,7616.39990234375,,
,U.K.,^FTSE,2022-04-19,,,7601.2998046875,,
,U.K.,^FTSE,2022-04-20,,,7629.2001953125,,
,U.K.,^FTSE,2022-04-21,,,7628.0,,
,U.K.,^FTSE,2022-04-22,,,7521.7001953125,,
,U.K.,^FTSE,2022-04-25,,,7380.5,,
,U.K.,^FTSE,2022-04-26,,,7386.2001953125,,
,U.K.,^FTSE,2022-04-27,,,7425.60009765625,,
,U.K.,^FTSE,2022-04-28,,,7509.2001953125,,
,U.K.,^FTSE,2022-04-29,,,7544.60009765625,,
,U.K.,^FTSE,2022-05-03,,,7561.2998046875,,
,U.K.,^FTSE,2022-05-04,,,7493.5,,
,U.K.,^FTSE,2022-05-05,,,7503.2998046875,,
,U.K.,^FTSE,2022-05-06,,,7387.89990234375,,
,U.K.,^FTSE,2022-05-09,,,7216.60009765625,,
,U.K.,^FTSE,2022-05-10,,,7243.2001953125,,
,U.K.,^FTSE,2022-05-11,,,7347.7001953125,,
,U.K.,^FTSE,2022-05-12,,,7233.2998046875,,
,U.K.,^FTSE,2022-05-13,,,7418.2001953125,,
,U.K.,^FTSE,2022-05-16,,,7464.7998046875,,
,U.K.,^FTSE,2022-05-17,,,7518.39990234375,,
,U.K.,^FTSE,2022-05-18,,,7438.10009765625,,
,U.K.,^FTSE,2022-05-19,,,7302.7001953125,,
,U.K.,^FTSE,2022-05-20,,,7390.0,,
,U.K.,^FTSE,2022-05-23,,,7513.39990234375,,
,U.K.,^FTSE,2022-05-24,,,7484.39990234375,,
,U.K.,^FTSE,2022-05-25,,,7522.7998046875,,
,U.K.,^FTSE,2022-05-26,,,7564.89990234375,,
,U.K.,^FTSE,2022-05-27,,,7585.5,,
,U.K.,^FTSE,2022-05-30,,,7600.10009765625,,
,U.K.,^FTSE,2022-05-31,,,7607.7001953125,,
,U.K.,^FTSE,2022-06-01,,,7533.0,,
,U.K.,^FTSE,2022-06-06,,,7608.2001953125,,
,U.K.,^FTSE,2022-06-07,,,7598.89990234375,,
,U.K.,^FTSE,2022-06-08,,,7593.0,,
,U.K.,^FTSE,2022-06-09,,,7476.2001953125,,
,U.K.,^FTSE,2022-06-10,,,7317.5,,
,U.K.,^FTSE,2022-06-13,,,7205.7998046875,,
,U.K.,^FTSE,2022-06-14,,,7187.5,,
,U.K.,^FTSE,2022-06-15,,,7273.39990234375,,
,U.K.,^FTSE,2022-06-16,,,7045.0,,
,U.K.,^FTSE,2022-06-17,,,7016.2998046875,,
,U.K.,^FTSE,2022-06-20,,,7121.7998046875,,
,U.K.,^FTSE,2022-06-21,,,7152.10009765625,,
,U.K.,^FTSE,2022-06-22,,,7089.2001953125,,
,U.K.,^FTSE,2022-06-23,,,7020.5,,
,U.K.,^FTSE,2022-06-24,,,7208.7998046875,,
,U.K.,^FTSE,2022-06-27,,,7258.2998046875,,
,U.K.,^FTSE,2022-06-28,,,7323.39990234375,,
,U.K.,^FTSE,2022-06-29,,,7312.2998046875,,
,U.K.,^FTSE,2022-06-30,,,7169.2998046875,,
,U.K.,^FTSE,2022-07-01,,,7168.7001953125,,
,U.K.,^FTSE,2022-07-04,,,7232.7001953125,,
,U.K.,^FTSE,2022-07-05,,,7025.5,,
,U.K.,^FTSE,2022-07-06,,,7107.7998046875,,
,U.K.,^FTSE,2022-07-07,,,7189.10009765625,,
,U.K.,^FTSE,2022-07-08,,,7196.2001953125,,
,U.K.,^FTSE,2022-07-11,,,7196.60009765625,,
,U.K.,^FTSE,2022-07-12,,,7209.89990234375,,
,U.K.,^FTSE,2022-07-13,,,7156.39990234375,,
,U.K.,^FTSE,2022-07-14,,,7039.7998046875,,
,U.K.,^FTSE,2022-07-15,,,7159.0,,
,U.K.,^FTSE,2022-07-18,,,7223.2001953125,,
,U.K.,^FTSE,2022-07-19,,,7296.2998046875,,
,U.K.,^FTSE,2022-07-20,,,7264.2998046875,,
,U.K.,^FTSE,2022-07-21,,,7270.5,,
,U.K.,^FTSE,2022-07-22,,,7276.39990234375,,
,U.K.,^FTSE,2022-07-25,,,7306.2998046875,,
,U.K.,^FTSE,2022-07-26,,,7306.2998046875,,
,U.K.,^FTSE,2022-07-27,,,7348.2001953125,,
,U.K.,^FTSE,2022-07-28,,,7345.2998046875,,
,U.K.,^FTSE,2022-07-29,,,7423.39990234375,,
,U.K.,^FTSE,2022-08-01,,,7413.39990234375,,
,U.K.,^FTSE,2022-08-02,,,7409.10009765625,,
,U.K.,^FTSE,2022-08-03,,,7445.7001953125,,
,U.K.,^FTSE,2022-08-04,,,7448.10009765625,,
,U.K.,^FTSE,2022-08-05,,,7439.7001953125,,
,U.K.,^FTSE,2022-08-08,,,7482.39990234375,,
,U.K.,^FTSE,2022-08-09,,,7488.2001953125,,
,U.K.,^FTSE,2022-08-10,,,7507.10009765625,,
,U.K.,^FTSE,2022-08-11,,,7465.89990234375,,
,U.K.,^FTSE,2022-08-12,,,7500.89990234375,,
,U.K.,^FTSE,2022-08-15,,,7509.2001953125,,
